INFO  - 2017-12-05 01:28:03.230; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2017-12-05 01:28:03.230; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2017-12-05 01:28:03.230; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2017-12-05 01:28:03.230; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2017-12-05 01:28:03.231; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/extraction/lib/poi-scratchpad-3.10-beta2.jar' to classloader
INFO  - 2017-12-05 01:28:03.231; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2017-12-05 01:28:03.231; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2017-12-05 01:28:03.231; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/extraction/lib/xz-1.2.jar' to classloader
INFO  - 2017-12-05 01:28:03.231; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2017-12-05 01:28:03.232; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/dist/solr-cell-4.8.1.jar' to classloader
INFO  - 2017-12-05 01:28:03.232; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2017-12-05 01:28:03.232; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2017-12-05 01:28:03.232; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2017-12-05 01:28:03.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2017-12-05 01:28:03.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2017-12-05 01:28:03.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2017-12-05 01:28:03.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2017-12-05 01:28:03.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2017-12-05 01:28:03.233; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/dist/solr-clustering-4.8.1.jar' to classloader
INFO  - 2017-12-05 01:28:03.234; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/cesar/Apps/solr-4.8.1/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
